leaves: 225
ind_0001	一般公共服务
ind_0002	一般公共预算支出
ind_0003	一般公共预算支出合计
ind_0004	一般公共预算支出排名
ind_0005	一般公共预算收入
ind_0006	一般公共预算收入排名
ind_0007	专用设备制造业
ind_0008	专项收入
ind_0009	两金占用(应收帐款和产成品存货)
ind_0010	个人所得税
ind_0011	中央项目
ind_0012	中长期贷款
ind_0013	乡村零售额
ind_0014	书报杂志类零售额
ind_0015	亏损企业亏损额
ind_0016	亏损面
ind_0017	交通运输
ind_0018	交通运输、仓储和邮政业
ind_0019	交通运输、仓储和邮政业投资
ind_0020	产品销售成本
ind_0021	从业人员平均人数(人)
ind_0022	仪器仪表制造业
ind_0023	企业所得税
ind_0024	住宅销售面积
ind_0025	住宅销售额
ind_0026	住宿和餐饮业
ind_0027	住宿和餐饮业投资
ind_0028	住宿和餐饮业零售额
ind_0029	住户存款
ind_0030	住户贷款
ind_0031	住房保障
ind_0032	信息传输、软件和信息技术服务业
ind_0033	信息传输、软件和信息技术服务业投资
ind_0034	全体居民人均可支配收入
ind_0035	全体居民人均可支配收入排名
ind_0036	全市居民人均消费支出
ind_0037	全市用电总量(亿千瓦小时)
ind_0038	公共安全
ind_0039	公共管理、社会保障和社会组织投资
ind_0040	公路(万人)
ind_0041	公路(万人公里)
ind_0042	公路(万吨)
ind_0043	公路(万吨公里)
ind_0044	其他制造业
ind_0045	其他服务业
ind_0046	其他费用
ind_0047	农、林、牧、渔业
ind_0048	农、林、牧、渔业投资
ind_0049	农业总产值(现价)
ind_0050	农副食品加工业
ind_0051	农村居民人均可支配收入
ind_0052	农村居民人均可支配收入排名
ind_0053	农村居民人均生活消费支出
ind_0054	农林水事务
ind_0055	出口
ind_0056	出口交货值
ind_0057	利润总额
ind_0058	利税总额
ind_0059	制造业投资
ind_0060	化学原料和化学制品制造业
ind_0061	化学纤维制造业
ind_0062	医药制造业
ind_0063	卫生健康
ind_0064	卫生和社会工作投资
ind_0065	印刷和记录媒介复制业
ind_0066	印花税
ind_0067	各项存款
ind_0068	各项贷款
ind_0069	商品房屋销售额
ind_0070	商品房施工面积
ind_0071	商品房竣工面积
ind_0072	商品房销售面积
ind_0073	固定资产投资
ind_0074	固定资产投资排名
ind_0075	国有投资
ind_0076	国有资源(资产)有偿使用收入
ind_0077	土地增值税
ind_0078	地区生产总值
ind_0079	地区生产总值排名
ind_0080	地方项目
ind_0081	城乡社区事务
ind_0082	城区零售额
ind_0083	城市维护建设税
ind_0084	城镇土地使用税
ind_0085	城镇居民人均可支配收入
ind_0086	城镇居民人均可支配收入排名
ind_0087	城镇居民人均生活消费支出
ind_0088	城镇零售额
ind_0089	基础设施建设投资
ind_0090	基础设施建设投资排名
ind_0091	境内存款
ind_0092	境内贷款
ind_0093	增值税
ind_0094	外商直接投资
ind_0095	大湘西地区(45贸外处4)
ind_0096	大湘西地区(46贸外处5)
ind_0097	契税
ind_0098	定期及其他存款
ind_0099	家具制造业
ind_0100	居民服务、修理和其他服务业投资
ind_0101	居民消费价格指数
ind_0102	工业
ind_0103	工业产品销售产值(现价)
ind_0104	工业技改投资
ind_0105	工业投资
ind_0106	工业投资排名
ind_0107	工业用电量
ind_0108	工资性收入
ind_0109	广义政府存款
ind_0110	废弃资源综合利用业
ind_0111	建筑业
ind_0112	建筑业投资
ind_0113	建筑安装工程
ind_0114	房产税
ind_0115	房地产业
ind_0116	房地产业投资
ind_0117	房地产开发投资
ind_0118	房地产开发投资排名
ind_0119	批发和零售业
ind_0120	批发和零售业投资
ind_0121	批发和零售业零售额
ind_0122	政府住房基金收入
ind_0123	教育
ind_0124	教育投资
ind_0125	文化、体育和娱乐业投资
ind_0126	文化旅游体育与传媒
ind_0127	文教、工美、体育和娱乐用品制造业
ind_0128	施工项目个数
ind_0129	有色金属冶炼和压延加工业
ind_0130	有色金属矿采选业
ind_0131	服装、鞋帽、针纺织品类零售额
ind_0132	木材加工和木、竹、藤、棕、草制品业
ind_0133	本年投产项目个数
ind_0134	本年新开工
ind_0135	橡胶和塑料制品业
ind_0136	民生工程投资
ind_0137	民间投资
ind_0138	水利、环境和公共设施管理业投资
ind_0139	水的生产和供应业
ind_0140	水运(万人)
ind_0141	水运(万人公里)
ind_0142	汽车制造业
ind_0143	汽车类零售额
ind_0144	洞庭湖地区(45贸外处4)
ind_0145	洞庭湖地区(46贸外处5)
ind_0146	活期存款
ind_0147	消费贷款
ind_0148	湘南地区(45贸外处4)
ind_0149	湘南地区(46贸外处5)
ind_0150	烟酒类零售额
ind_0151	煤炭开采和洗选业
ind_0152	燃气生产和供应业
ind_0153	环境保护税
ind_0154	环长株潭城市群(45贸外处4)
ind_0155	环长株潭城市群(46贸外处5)
ind_0156	生态环境投资
ind_0157	电力、热力、燃气及水的生产和供应业投资
ind_0158	电力、热力生产和供应业
ind_0159	电气机械和器材制造业
