indicator,status,rows,years,note
万元以上项目投资,DISCONTINUED,33,"2018,2019,2020",2025 年不再发布（只列不删）
上划中央收入,DISCONTINUED,55,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
上划省级收入,DISCONTINUED,55,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
两金占用(应收账款和产成品存货),DISCONTINUED,4,2023,2025 年不再发布（只列不删）
产业投资,DISCONTINUED,870,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
产业投资排名,DISCONTINUED,770,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
产品销售收入(主营业务收入),VARIANT,77,"2018,2019,2020,2021,2022,2023,2024",2018-2024 语义≈规模工业营业收入，但 2024-12=2736.15 vs 2025 1-2月=2709.17 差约 1% 且存滞后风险，不合并
从业人员平均人数(万人),DISCONTINUED,33,"2020,2022,2023,2024",2025 年不再发布（只列不删）
住宅投资,DISCONTINUED,44,"2018,2019,2020,2021",2025 年不再发布（只列不删）
保险收入,DISCONTINUED,77,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
保险赔付,DISCONTINUED,77,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
其它类型企业,DISCONTINUED,66,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
内资,DISCONTINUED,856,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
内资排名,DISCONTINUED,739,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
出口（万美元）,DISCONTINUED,30,"2018,2019,2020",2025 年不再发布（只列不删）
分市州GDP,DISCONTINUED,165,"2017,2018,2021,2022",2025 年不再发布（只列不删）
分市州出口总额,DISCONTINUED,795,"2017,2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
分市州固定资产投资,DISCONTINUED,825,"2017,2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
分市州地方财政收入,DISCONTINUED,825,"2017,2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
分市州消费品零售总额,DISCONTINUED,420,"2017,2018,2019,2021,2022,2023",2025 年不再发布（只列不删）
分市州规模工业增加值,DISCONTINUED,840,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
分市州进出口总额,DISCONTINUED,225,"2021,2022",2025 年不再发布（只列不删）
利润总额,VARIANT,85,"2018,2019,2020,2021,2022,2023,2024,2025",2018-2024 主表(二)口径≠规模工业利润总额（2024 193.28亿 vs 188.93亿）；2025 工业7 为滞后副本，不合并
利用市外境内资金(亿元、人民币),DISCONTINUED,25,"2018,2019,2020",2025 年不再发布（只列不删）
利用省外境内资金(亿元、人民币),DISCONTINUED,40,"2020,2021,2022,2023",2025 年不再发布（只列不删）
商品零售价格指数,DISCONTINUED,55,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
国有商业银行,DISCONTINUED,29,"2018,2019,2020",2025 年不再发布（只列不删）
国税系统,DISCONTINUED,7,2018,2025 年不再发布（只列不删）
地税系统,DISCONTINUED,7,2018,2025 年不再发布（只列不删）
城乡居民收支(元),DISCONTINUED,17,"2018,2019,2020,2021",2025 年不再发布（只列不删）
城步县(分县（市、区）规模工业增加值),NOISE,2,2021,结构化单元格前缀保留/区域行误解析残留
增加值,VARIANT,77,"2018,2019,2020,2021,2022,2023,2024",2018-2024 含绝对值，语义=规模工业增加值（2025 起只发 规模工业增加值），保留原名
外商及港澳台企业,DISCONTINUED,66,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
外商直接投资排名,DISCONTINUED,228,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
大中型工业企业,DISCONTINUED,67,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
客运量(万人),DISCONTINUED,59,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
工业产品销售率,DISCONTINUED,53,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
工业总产值(现价),DISCONTINUED,1,2018,2025 年不再发布（只列不删）
市级,NOISE,1,2021,结构化单元格前缀保留/区域行误解析残留
待售面积投资,DISCONTINUED,1,2019,2025 年不再发布（只列不删）
总计中：园区工业,NOISE,75,"2018,2019,2020,2021,2022,2023,2024",结构化单元格前缀保留/区域行误解析残留
总计中：国有企业,NOISE,65,"2018,2019,2020,2021,2022,2023",结构化单元格前缀保留/区域行误解析残留
总计中：国有及控股企业,NOISE,66,"2018,2019,2020,2021,2022,2023",结构化单元格前缀保留/区域行误解析残留
旅客周转量(万人公里),DISCONTINUED,59,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
本年完成投资额,DISCONTINUED,33,"2018,2019,2020",2025 年不再发布（只列不删）
民生支出,DISCONTINUED,22,"2023,2024",2025 年不再发布（只列不删）
税收收入（全口径）,DISCONTINUED,75,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
经开区(分县（市、区）规模工业增加值),NOISE,2,2021,结构化单元格前缀保留/区域行误解析残留
股份制企业,DISCONTINUED,66,"2018,2019,2020,2021,2022,2023",2025 年不再发布（只列不删）
股份合作企业,DISCONTINUED,33,"2018,2019,2020",2025 年不再发布（只列不删）
营业收入,VARIANT,8,2025,2025 工业7 为规模工业营业收入滞后一月副本（1-9月=1-8月累计 1699.51），不并入规模工业营业收入
营业税,DISCONTINUED,11,2018,2025 年不再发布（只列不删）
计划总投资额,DISCONTINUED,44,"2018,2019,2020,2021",2025 年不再发布（只列不删）
财政总收入,DISCONTINUED,768,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
财政总收入排名,DISCONTINUED,616,"2018,2019,2020,2021,2022",2025 年不再发布（只列不删）
车辆购置税,DISCONTINUED,75,"2018,2019,2020,2021,2022,2023,2024",2025 年不再发布（只列不删）
进出口（万美元）,DISCONTINUED,378,"2018,2019,2020",2025 年不再发布（只列不删）
进口（万美元）,DISCONTINUED,30,"2018,2019,2020",2025 年不再发布（只列不删）
邵东县(分县（市、区）规模工业增加值),NOISE,2,2021,结构化单元格前缀保留/区域行误解析残留
邵阳(分县（市、区）财政总收入),NOISE,1,2021,结构化单元格前缀保留/区域行误解析残留
集体企业,DISCONTINUED,41,"2018,2019,2020,2021",2025 年不再发布（只列不删）
项目投资,DISCONTINUED,11,2021,2025 年不再发布（只列不删）
