type,indicator_name,indicator_code,category,note
LEAF_UNLINKED,乡村零售额,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,交通运输、仓储和邮政业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,住宅销售面积,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,住宅销售额,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,住宿和餐饮业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,住宿和餐饮业零售额,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,信息传输、软件和信息技术服务业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,出口交货值,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,城镇零售额,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,大湘西地区(45贸外处4),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,大湘西地区(46贸外处5),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,建筑业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,房地产业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,批发和零售业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,批发和零售业零售额,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,教育投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,洞庭湖地区(45贸外处4),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,洞庭湖地区(46贸外处5),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,湘南地区(45贸外处4),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,湘南地区(46贸外处5),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,环长株潭城市群(45贸外处4),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,环长株潭城市群(46贸外处5),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,第一产业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,第三产业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,第二产业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,金融业投资,,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,长株潭地区(45贸外处4),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
LEAF_UNLINKED,长株潭地区(46贸外处5),,,2025叶子在 dict 中无对应行（挂树成功，category_id 回填目标为空）
DICT_UNMATCHED,财政总收入,、财政总收入,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,国有商业银行,#国有商业银行,金融运行,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,营业税,#营业税,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,车辆购置税,#车辆购置税,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,国税系统,1、国税系统,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,增加值,1、增加值,经济核算,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,按地区分：城镇,1、按地区分：城镇,居民收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,上划中央收入,2、上划中央收入,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,地税系统,2、地税系统,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,计划总投资额,2、计划总投资额,固定资产投资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,上划省级收入,3、上划省级收入,财政收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,工业产品销售率(%),3、工业产品销售率（%）,工业经济,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,3、本年完成投资额,3、本年完成投资额,固定资产投资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,万元以上项目投资,500万元以上项目投资,固定资产投资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,乡村,乡村,居民收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,产品销售收入(主营业务收入),产品销售收入（主营业务收入）,工业经济,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,保险收入(万元),保险收入(万元),居民收支,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,保险赔付(万元),保险赔付(万元),综合对比,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,其中：住宅,其中：住宅,综合对比,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,其它类型企业,其它类型企业,消费市场,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,出口,出口排名,外贸外资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,分县(市、区)产业投资,分县（市、区）产业投资,固定资产投资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,分县(市、区)产业投资排名,分县（市、区）产业投资排名,固定资产投资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,分县(市、区)实际利用内资,分县（市、区）实际利用内资,外贸外资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,分县(市、区)实际利用内资排名,分县（市、区）实际利用内资排名,外贸外资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,外商直接投资,分县（市、区）实际利用外资排名,外贸外资,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,财政总收入,分县（市、区）财政总收入,综合对比,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,财政总收入,分县（市、区）财政总收入排名,综合对比,dict 行未匹配到 2025 叶子（保留原样）
DICT_UNMATCHED,进出口,分县（市、区）进出口总额排名,外贸外资,dict 行未匹配到 2025 叶子（保留原样）
