id,stat_doc_id,period,region,indicator_code,indicator_name,value,unit,growth_rate,sheet_name,source_type,confidence,generator_type,create_time
30373,236,2025年1-9月,全市,地区生产总值（GDP）,地区生产总值（GDP）,1974.6100,亿元,5.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30374,236,2025年1-9月,全市,第一产业增加值,第一产业增加值,303.6500,亿元,4.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30375,236,2025年1-9月,全市,第二产业增加值,第二产业增加值,565.5000,亿元,5.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30376,236,2025年1-9月,全市,第三产业增加值,第三产业增加值,1105.4600,亿元,5.10,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30377,236,2025年1-9月,全市,规模工业增加值,规模工业增加值,4.5000,%,6.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30378,236,2025年1-9月,全市,社会消费品零售总额,社会消费品零售总额,1182.7200,亿元,4.80,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30379,236,2025年1-9月,全市,零售额,零售额,434.6200,亿元,8.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30380,236,2025年1-9月,全市,一般公共预算收入,一般公共预算收入,40.9700,亿元,3.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30381,236,2025年1-9月,全市,算收入,算收入,86.1500,亿元,3.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30382,236,2025年1-9月,全市,方税收收入,方税收收入,45.1800,亿元,16.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30383,236,2025年1-9月,全市,非税收入,非税收入,40.9700,亿元,3.60,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30384,236,2025年1-9月,全市,预算支出,预算支出,483.7400,亿元,4.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30385,236,2025年1-9月,全市,固定资产投资,固定资产投资,13.9000,%,-9.90,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30386,237,2025年1-8月,全市,规模工业增加值,规模工业增加值,7.7000,%,9.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30387,237,2025年1-8月,全市,固定资产投资,固定资产投资,16.6000,%,3.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30388,237,2025年1-8月,全市,社会消费品零售总额,社会消费品零售总额,1040.4400,亿元,5.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30389,237,2025年1-8月,全市,售额,售额,378.5600,亿元,9.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30390,237,2025年1-8月,全市,一般公共预算收入,一般公共预算收入,33.5700,亿元,3.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30391,237,2025年1-8月,全市,算收入,算收入,74.1200,亿元,0.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30392,237,2025年1-8月,全市,方税收收入,方税收收入,40.5500,亿元,9.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30393,237,2025年1-8月,全市,非税收入,非税收入,33.5700,亿元,0.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30394,237,2025年1-8月,全市,般预算支出,般预算支出,414.5000,亿元,6.60,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30395,238,2025年1-7月,全市,规模工业增加值,规模工业增加值,7.6000,%,9.10,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30396,238,2025年1-7月,全市,固定资产投资,固定资产投资,16.9000,%,0.10,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30397,238,2025年1-7月,全市,社会消费品零售总额,社会消费品零售总额,905.0200,亿元,6.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30398,238,2025年1-7月,全市,一般公共预算收入,一般公共预算收入,30.6500,亿元,0.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30399,238,2025年1-7月,全市,方税收收入,方税收收入,39.0200,亿元,5.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30400,238,2025年1-7月,全市,非税收入,非税收入,30.6500,亿元,0.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30401,238,2025年1-7月,全市,般预算支出,般预算支出,369.9700,亿元,4.60,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30402,238,2025年1-7月,全市,算收入,算收入,69.6600,亿元,-0.10,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30403,239,2025年1-6月,全市,地区生产总值（GDP）,地区生产总值（GDP）,1355.4500,亿元,6.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30404,239,2025年1-6月,全市,第一产业增加值,第一产业增加值,166.5400,亿元,4.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30405,239,2025年1-6月,全市,第二产业增加值,第二产业增加值,361.8800,亿元,7.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30406,239,2025年1-6月,全市,第三产业增加值,第三产业增加值,827.0300,亿元,6.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30407,239,2025年1-6月,全市,规模工业增加值,规模工业增加值,7.6000,%,9.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30408,239,2025年1-6月,全市,固定资产投资,固定资产投资,19.3000,%,3.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30409,239,2025年1-6月,全市,社会消费品零售总额,社会消费品零售总额,774.7300,亿元,6.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30410,239,2025年1-6月,全市,一般公共预算收入,一般公共预算收入,27.8100,亿元,5.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30411,239,2025年1-6月,全市,非税收入,非税收入,27.8100,亿元,1.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30412,239,2025年1-6月,全市,般预算支出,般预算支出,321.6500,亿元,5.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30413,239,2025年1-6月,全市,算收入,算收入,62.7800,亿元,-1.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30414,239,2025年1-6月,全市,方税收收入,方税收收入,34.9700,亿元,-1.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30415,240,2025年1-5月,全市,规模工业增加值,规模工业增加值,7.8000,%,9.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30416,240,2025年1-5月,全市,固定资产投资,固定资产投资,18.2000,%,4.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30417,240,2025年1-5月,全市,社会消费品零售总额,社会消费品零售总额,631.7800,亿元,6.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30418,240,2025年1-5月,全市,一般公共预算收入,一般公共预算收入,21.9800,亿元,2.20,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30419,240,2025年1-5月,全市,算收入,算收入,46.4700,亿元,0.70,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30420,240,2025年1-5月,全市,方税收收入,方税收收入,24.5000,亿元,14.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30421,240,2025年1-5月,全市,非税收入,非税收入,21.9800,亿元,1.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30422,240,2025年1-5月,全市,预算支出,预算支出,263.4500,亿元,5.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30423,241,2025年1-4月,全市,规模工业增加值,规模工业增加值,8.1000,%,9.40,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30424,241,2025年1-4月,全市,固定资产投资,固定资产投资,13.7000,%,3.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30425,241,2025年1-4月,全市,社会消费品零售总额,社会消费品零售总额,507.9600,亿元,5.90,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30426,241,2025年1-4月,全市,算收入,算收入,39.8300,亿元,0.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30427,241,2025年1-4月,全市,方税收收入,方税收收入,21.2000,亿元,12.90,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30428,241,2025年1-4月,全市,非税收入,非税收入,18.6300,亿元,2.00,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30429,241,2025年1-4月,全市,预算支出,预算支出,220.6600,亿元,4.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30430,241,2025年1-4月,全市,一般公共预算收入,一般公共预算收入,39.8300,亿元,-9.60,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30431,242,2025年1-3月,全市,地区生产总值（GDP）,地区生产总值（GDP）,663.6100,亿元,6.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30432,242,2025年1-3月,全市,第一产业增加值,第一产业增加值,59.6000,亿元,3.60,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30433,242,2025年1-3月,全市,第二产业增加值,第二产业增加值,169.9700,亿元,6.90,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30434,242,2025年1-3月,全市,第三产业增加值,第三产业增加值,434.0300,亿元,6.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30435,242,2025年1-3月,全市,规模工业增加值,规模工业增加值,7.6000,%,8.80,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30436,242,2025年1-3月,全市,固定资产投资,固定资产投资,2.7000,%,3.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30437,242,2025年1-3月,全市,社会消费品零售总额,社会消费品零售总额,387.3500,亿元,5.80,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30438,242,2025年1-3月,全市,售额,售额,140.4900,亿元,10.50,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
30439,242,2025年1-3月,全市,方税收收入,方税收收入,17.1100,亿元,9.30,,ANALYSIS,medium,RULE,2026-08-06 11:32:52
