id,stat_doc_id,period,region,indicator_code,indicator_name,value,unit,growth_rate,sheet_name,source_type,confidence,generator_type,create_time
25515,7,2025年,全市,地区生产总值（GDP）,地区生产总值（GDP）,2883.5000,亿元,0.20,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25516,7,2025年,全市,第一产业增加值,第一产业增加值,467.4000,亿元,3.90,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25517,7,2025年,全市,第三产业增加值,第三产业增加值,1476.1000,亿元,5.50,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25518,7,2025年,全市,民营经济实现增加值,民营经济实现增加值,2091.4000,亿元,0.00,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25519,7,2025年,全市,一般公共预算收入,一般公共预算收入,55.2000,亿元,10.60,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25520,7,2025年,全市,税收收入,税收收入,60.7000,亿元,1.40,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25521,7,2025年,全市,非税收入,非税收入,55.2000,亿元,2.30,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25522,7,2025年,全市,算支出,算支出,652.2000,亿元,11.50,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25523,7,2025年,全市,一般公共服务支出,一般公共服务支出,76.7000,亿元,4.70,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25524,7,2025年,全市,为省定任务的,为省定任务的,100.0000,%,4.10,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25525,7,2025年,全市,村恢复和改善灌溉面积,村恢复和改善灌溉面积,2.0400,万亩,3.30,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25526,7,2025年,全市,省定任务的,省定任务的,113.1000,%,1.00,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25527,7,2025年,全市,完成农林牧渔业总产值,完成农林牧渔业总产值,798.2000,亿元,4.30,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25528,7,2025年,全市,产量,产量,368.5000,万吨,5.90,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25529,7,2025年,全市,业产值,业产值,30.8000,亿元,7.10,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25530,7,2025年,全市,末拥有农产品加工企业,末拥有农产品加工企业,13156.0000,家,1.70,,BULLETIN,medium,RULE,2026-08-06 11:32:51
25531,7,2025年,全市,回归新增涉税市场主体,回归新增涉税市场主体,133.0000,家,10.50,,BULLETIN,medium,RULE,2026-08-06 11:32:51
