id,stat_doc_id,period,region,indicator_code,indicator_name,value,unit,growth_rate,sheet_name,source_type,confidence,generator_type,create_time
7,196,2025年1-9月,全市,地区生产总值（GDP）,地区生产总值（GDP）,1974.6101,亿元,4.96,核算5,XLSX,high,RULE,2026-08-06 11:30:41
8,196,2025年1-9月,全市,农、林、牧、渔业,农、林、牧、渔业,319.4079,亿元,4.40,核算5,XLSX,high,RULE,2026-08-06 11:30:41
9,196,2025年1-9月,全市,工业,工业,412.7653,亿元,5.30,核算5,XLSX,high,RULE,2026-08-06 11:30:41
10,196,2025年1-9月,全市,建筑业,建筑业,153.8055,亿元,4.50,核算5,XLSX,high,RULE,2026-08-06 11:30:41
11,196,2025年1-9月,全市,批发和零售业,批发和零售业,130.3303,亿元,5.70,核算5,XLSX,high,RULE,2026-08-06 11:30:41
12,196,2025年1-9月,全市,交通运输、仓储和邮政业,交通运输、仓储和邮政业,88.2585,亿元,1.80,核算5,XLSX,high,RULE,2026-08-06 11:30:41
13,196,2025年1-9月,全市,住宿和餐饮业,住宿和餐饮业,14.1436,亿元,6.00,核算5,XLSX,high,RULE,2026-08-06 11:30:41
14,196,2025年1-9月,全市,金融业,金融业,99.5912,亿元,1.20,核算5,XLSX,high,RULE,2026-08-06 11:30:41
15,196,2025年1-9月,全市,房地产业,房地产业,141.5400,亿元,0.80,核算5,XLSX,high,RULE,2026-08-06 11:30:41
16,196,2025年1-9月,全市,其他服务业,其他服务业,614.7678,亿元,7.40,核算5,XLSX,high,RULE,2026-08-06 11:30:41
17,196,2025年1-9月,全市,#信息传输、软件和信息技术服务业,#信息传输、软件和信息技术服务业,51.7417,亿元,7.80,核算5,XLSX,high,RULE,2026-08-06 11:30:41
18,196,2025年1-9月,全市,租赁和商务服务业,租赁和商务服务业,100.4409,亿元,15.90,核算5,XLSX,high,RULE,2026-08-06 11:30:41
19,196,2025年1-9月,全市,第一产业,第一产业,303.6521,亿元,4.20,核算5,XLSX,high,RULE,2026-08-06 11:30:41
20,196,2025年1-9月,全市,第二产业,第二产业,565.4974,亿元,5.00,核算5,XLSX,high,RULE,2026-08-06 11:30:41
21,196,2025年1-9月,全市,第三产业,第三产业,1105.4606,亿元,5.10,核算5,XLSX,high,RULE,2026-08-06 11:30:41
22,196,2025年1-9月,全市,农业总产值（现价）,农业总产值（现价）,489.2200,亿元,4.44,核算5,XLSX,high,RULE,2026-08-06 11:30:41
23,196,2025年1-9月,全市,1.规模工业总产值,1.规模工业总产值,,,4.50,工业7,XLSX,high,RULE,2026-08-06 11:30:41
24,196,2025年1-9月,全市,2.规模以下工业总产值,2.规模以下工业总产值,,,5.00,工业7,XLSX,high,RULE,2026-08-06 11:30:41
25,196,2025年1-9月,全市,规模工业增加值,规模工业增加值,,,6.00,工业7,XLSX,high,RULE,2026-08-06 11:30:41
26,196,2025年1-9月,全市,工业产品销售产值（现价）,工业产品销售产值（现价）,1982.1880,亿元,5.28,工业7,XLSX,high,RULE,2026-08-06 11:30:41
27,196,2025年1-9月,全市,其中：出口交货值,其中：出口交货值,121.4670,亿元,-5.25,工业7,XLSX,high,RULE,2026-08-06 11:30:41
28,196,2025年1-9月,全市,亏损面（%）,亏损面（%）,4.1260,亿元,14.28,工业7,XLSX,high,RULE,2026-08-06 11:30:41
29,196,2025年1-9月,全市,营业收入,营业收入,1699.5071,亿元,10.19,工业7,XLSX,high,RULE,2026-08-06 11:30:41
30,196,2025年1-9月,全市,产品销售成本,产品销售成本,1394.8604,亿元,10.52,工业7,XLSX,high,RULE,2026-08-06 11:30:41
31,196,2025年1-9月,全市,两金占用（应收帐款和产成品存货）,两金占用（应收帐款和产成品存货）,245.5345,亿元,16.79,工业7,XLSX,high,RULE,2026-08-06 11:30:41
32,196,2025年1-9月,全市,利税总额,利税总额,144.6604,亿元,10.47,工业7,XLSX,high,RULE,2026-08-06 11:30:41
33,196,2025年1-9月,全市,利润总额,利润总额,106.8000,亿元,13.90,工业7,XLSX,high,RULE,2026-08-06 11:30:41
34,196,2025年1-9月,全市,其中：亏损企业亏损额,其中：亏损企业亏损额,4.7000,亿元,-6.04,工业7,XLSX,high,RULE,2026-08-06 11:30:41
35,196,2025年1-9月,全市,从业人员平均人数（人）,从业人员平均人数（人）,186206.0000,亿元,-2.57,工业7,XLSX,high,RULE,2026-08-06 11:30:41
36,196,2025年1-9月,全市,煤炭开采和洗选业,煤炭开采和洗选业,,,-37.05,工业8,XLSX,high,RULE,2026-08-06 11:30:41
37,196,2025年1-9月,全市,黑色金属矿采选业,黑色金属矿采选业,,,-9.90,工业8,XLSX,high,RULE,2026-08-06 11:30:41
38,196,2025年1-9月,全市,有色金属矿采选业,有色金属矿采选业,,,4.73,工业8,XLSX,high,RULE,2026-08-06 11:30:41
39,196,2025年1-9月,全市,非金属矿采选业,非金属矿采选业,,,-35.72,工业8,XLSX,high,RULE,2026-08-06 11:30:41
40,196,2025年1-9月,全市,农副食品加工业,农副食品加工业,,,15.44,工业8,XLSX,high,RULE,2026-08-06 11:30:41
41,196,2025年1-9月,全市,食品制造业,食品制造业,,,31.93,工业8,XLSX,high,RULE,2026-08-06 11:30:41
42,196,2025年1-9月,全市,酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,,,6.45,工业8,XLSX,high,RULE,2026-08-06 11:30:41
43,196,2025年1-9月,全市,纺织业,纺织业,,,-1.33,工业8,XLSX,high,RULE,2026-08-06 11:30:41
44,196,2025年1-9月,全市,纺织服装、服饰业,纺织服装、服饰业,,,2.45,工业8,XLSX,high,RULE,2026-08-06 11:30:41
45,196,2025年1-9月,全市,皮革、毛皮、羽毛及其制品和制鞋业,皮革、毛皮、羽毛及其制品和制鞋业,,,-4.50,工业8,XLSX,high,RULE,2026-08-06 11:30:41
46,196,2025年1-9月,全市,木材加工和木、竹、藤、棕、草制品业,木材加工和木、竹、藤、棕、草制品业,,,6.36,工业8,XLSX,high,RULE,2026-08-06 11:30:41
47,196,2025年1-9月,全市,家具制造业,家具制造业,,,-20.26,工业8,XLSX,high,RULE,2026-08-06 11:30:41
48,196,2025年1-9月,全市,造纸和纸制品业,造纸和纸制品业,,,20.99,工业8,XLSX,high,RULE,2026-08-06 11:30:41
49,196,2025年1-9月,全市,印刷和记录媒介复制业,印刷和记录媒介复制业,,,14.78,工业8,XLSX,high,RULE,2026-08-06 11:30:41
50,196,2025年1-9月,全市,文教、工美、体育和娱乐用品制造业,文教、工美、体育和娱乐用品制造业,,,-13.09,工业8,XLSX,high,RULE,2026-08-06 11:30:41
51,196,2025年1-9月,全市,石油、煤炭及其他燃料加工业,石油、煤炭及其他燃料加工业,,,17.39,工业8,XLSX,high,RULE,2026-08-06 11:30:41
52,196,2025年1-9月,全市,化学原料和化学制品制造业,化学原料和化学制品制造业,,,0.79,工业8,XLSX,high,RULE,2026-08-06 11:30:41
53,196,2025年1-9月,全市,医药制造业,医药制造业,,,5.56,工业8,XLSX,high,RULE,2026-08-06 11:30:41
54,196,2025年1-9月,全市,化学纤维制造业,化学纤维制造业,,,20.56,工业8,XLSX,high,RULE,2026-08-06 11:30:41
55,196,2025年1-9月,全市,橡胶和塑料制品业,橡胶和塑料制品业,,,-5.90,工业8,XLSX,high,RULE,2026-08-06 11:30:41
56,196,2025年1-9月,全市,非金属矿物制品业,非金属矿物制品业,,,9.66,工业8,XLSX,high,RULE,2026-08-06 11:30:41
57,196,2025年1-9月,全市,黑色金属冶炼和压延加工业,黑色金属冶炼和压延加工业,,,-15.49,工业8,XLSX,high,RULE,2026-08-06 11:30:41
58,196,2025年1-9月,全市,有色金属冶炼和压延加工业,有色金属冶炼和压延加工业,,,13.11,工业8,XLSX,high,RULE,2026-08-06 11:30:41
59,196,2025年1-9月,全市,金属制品业,金属制品业,,,3.12,工业8,XLSX,high,RULE,2026-08-06 11:30:41
60,196,2025年1-9月,全市,通用设备制造业,通用设备制造业,,,2.08,工业8,XLSX,high,RULE,2026-08-06 11:30:41
61,196,2025年1-9月,全市,专用设备制造业,专用设备制造业,,,-18.16,工业8,XLSX,high,RULE,2026-08-06 11:30:41
62,196,2025年1-9月,全市,汽车制造业,汽车制造业,,,16.10,工业8,XLSX,high,RULE,2026-08-06 11:30:41
63,196,2025年1-9月,全市,电气机械和器材制造业,电气机械和器材制造业,,,13.92,工业8,XLSX,high,RULE,2026-08-06 11:30:41
64,196,2025年1-9月,全市,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,,41.83,工业8,XLSX,high,RULE,2026-08-06 11:30:41
65,196,2025年1-9月,全市,仪器仪表制造业,仪器仪表制造业,,,263.55,工业8,XLSX,high,RULE,2026-08-06 11:30:41
66,196,2025年1-9月,全市,其他制造业,其他制造业,,,0.34,工业8,XLSX,high,RULE,2026-08-06 11:30:41
67,196,2025年1-9月,全市,废弃资源综合利用业,废弃资源综合利用业,,,1.44,工业8,XLSX,high,RULE,2026-08-06 11:30:41
