指标,排名,区县,数值,增速
GDP,1,邵东市,520.12 亿元,+4.60%
GDP,2,隆回县,216.09 亿元,+5.70%
GDP,3,洞口县,167.93 亿元,+5.00%
GDP,4,大祥区,166.71 亿元,+5.90%
GDP,5,武冈市,165.56 亿元,+6.40%
GDP,6,邵阳县,158.20 亿元,+5.00%
GDP,7,双清区,148.26 亿元,+4.50%
GDP,8,新邵县,146.29 亿元,+6.00%
GDP,9,新宁县,104.20 亿元,+4.50%
GDP,10,绥宁县,78.63 亿元,+4.00%
GDP,11,城步苗族自治县,54.08 亿元,+5.60%
GDP,12,北塔区,48.54 亿元,+5.20%
财政收入,1,邵东市,13.83 亿元,-13.13%
财政收入,2,隆回县,8.55 亿元,+5.46%
财政收入,3,武冈市,8.16 亿元,+3.96%
财政收入,4,洞口县,6.06 亿元,-5.84%
财政收入,5,新邵县,5.48 亿元,+5.76%
财政收入,6,新宁县,4.95 亿元,-7.66%
财政收入,7,邵阳县,4.72 亿元,-27.50%
财政收入,8,城步苗族自治县,2.75 亿元,+22.82%
财政收入,9,绥宁县,2.70 亿元,+12.44%
财政收入,10,大祥区,2.09 亿元,-25.29%
财政收入,11,双清区,1.85 亿元,-18.78%
财政收入,12,北塔区,1.66 亿元,+41.55%
规上工业增速,1,武冈市,-,+11.58%
规上工业增速,2,城步苗族自治县,-,+11.00%
规上工业增速,3,双清区,-,+9.70%
规上工业增速,4,大祥区,-,+9.66%
规上工业增速,5,北塔区,-,+8.78%
规上工业增速,6,新邵县,-,+8.39%
规上工业增速,7,洞口县,-,+6.61%
规上工业增速,8,隆回县,-,+5.27%
规上工业增速,9,邵阳县,-,+4.95%
规上工业增速,10,邵东市,-,+3.36%
规上工业增速,11,新宁县,-,+3.27%
规上工业增速,12,绥宁县,-,-0.20%
社零,1,邵东市,267.63 亿元,+4.63%
社零,2,隆回县,140.48 亿元,+4.90%
社零,3,双清区,127.60 亿元,+4.32%
社零,4,邵阳县,113.06 亿元,+4.07%
社零,5,洞口县,105.68 亿元,+4.63%
社零,6,新邵县,93.16 亿元,+5.30%
社零,7,武冈市,92.16 亿元,+5.70%
社零,8,大祥区,82.92 亿元,+5.90%
社零,9,新宁县,61.40 亿元,+5.20%
社零,10,绥宁县,46.45 亿元,+4.50%
社零,11,城步苗族自治县,31.59 亿元,+5.00%
社零,12,北塔区,20.57 亿元,+5.50%
居民收入,1,双清区,"31,796.00 元",+5.40%
居民收入,2,大祥区,"30,746.00 元",+5.50%
居民收入,3,邵东市,"29,510.00 元",+5.50%
居民收入,4,北塔区,"27,316.00 元",+5.70%
居民收入,5,武冈市,"22,069.00 元",+6.00%
居民收入,6,洞口县,"21,332.00 元",+5.90%
居民收入,7,新邵县,"19,580.00 元",+6.00%
居民收入,8,邵阳县,"19,309.00 元",+6.30%
居民收入,9,新宁县,"17,980.00 元",+6.10%
居民收入,10,隆回县,"17,713.00 元",+6.40%
居民收入,11,绥宁县,"17,106.00 元",+5.70%
居民收入,12,城步苗族自治县,"14,630.00 元",+7.00%
